levelName	taxon	n	group
 ¦       °--Holozoa                                                       			""
 ¦           °--Metazoa                                                   	Metazoa	26	""
 ¦               ¦--Annelida                                              	Annelida	2795	""
 ¦               ¦   °--Polychaeta                                        	Polychaeta	1	""
 ¦               ¦       ¦--Errantia                                      			""
 ¦               ¦       ¦   ¦--Alciopidae                                	Alciopidae	69	""
 ¦               ¦       ¦   °--Tomopteridae                              	Tomopteridae	3	""
 ¦               ¦       °--Sedentaria                                    			""
 ¦               ¦           °--Canalipalpata                             			""
 ¦               ¦               °--Terebellida                           			""
 ¦               ¦                   ¦--Flota                             	Flota	312	""
 ¦               ¦                   ¦   °--Flota sp.                     	Flota sp.	10	""
 ¦               ¦                   ¦--Poeobius                          	Poeobius	386	""
 ¦               ¦                   °--Swima                             	Swima	21	""
 ¦               ¦--Arthropoda                                            	Arthropoda	10	""
 ¦               ¦   ¦--Crustacea                                         	Crustacea	6557	""
 ¦               ¦   ¦   ¦--Branchiopoda                                  			""
 ¦               ¦   ¦   ¦   °--Diplostraca                               			""
 ¦               ¦   ¦   ¦       °--Cladocera                             	Cladocera	26	""
 ¦               ¦   ¦   ¦--larvae                                        	larvae<Crustacea	57	""
 ¦               ¦   ¦   ¦--leg                                           	leg<Crustacea	3	""
 ¦               ¦   ¦   ¦--Malacostraca                                  			""
 ¦               ¦   ¦   ¦   °--Eumalacostraca                            	Eumalacostraca	12506	""
 ¦               ¦   ¦   ¦       ¦--Amphipoda                             	Amphipoda	227	""
 ¦               ¦   ¦   ¦       ¦   °--Gammaridea                        			""
 ¦               ¦   ¦   ¦       ¦       °--Stegocephalidae               			""
 ¦               ¦   ¦   ¦       ¦           °--Stegocephalus             			""
 ¦               ¦   ¦   ¦       ¦               °--Stegocephalus inflatus	Stegocephalus inflatus	1	""
 ¦               ¦   ¦   ¦       ¦--Decapoda                              	Decapoda	24	""
 ¦               ¦   ¦   ¦       ¦   ¦--like                              	like<Decapoda	1	""
 ¦               ¦   ¦   ¦       ¦   °--Pleocyemata                       			""
 ¦               ¦   ¦   ¦       ¦       °--Anomura                       			""
 ¦               ¦   ¦   ¦       ¦           ¦--Galatheidae               	Galatheidae	2	""
 ¦               ¦   ¦   ¦       ¦           °--Munididae                 			""
 ¦               ¦   ¦   ¦       ¦               °--Pleuroncodes          	Pleuroncodes	507	""
 ¦               ¦   ¦   ¦       ¦--Euphausiacea                          	Euphausiacea	527	""
 ¦               ¦   ¦   ¦       °--Isopoda                               	Isopoda	15	""
 ¦               ¦   ¦   ¦           °--Asellota                          			""
 ¦               ¦   ¦   ¦               °--Munnopsis                     	Munnopsis	68	""
 ¦               ¦   ¦   ¦--Maxillopoda                                   			""
 ¦               ¦   ¦   ¦   °--Copepoda                                  	Copepoda	89479	""
 ¦               ¦   ¦   ¦       ¦--badfocus                              	badfocus<Copepoda	11	""
 ¦               ¦   ¦   ¦       ¦--Calanoida                             			""
 ¦               ¦   ¦   ¦       ¦   ¦--Clausocalanidae                   			""
 ¦               ¦   ¦   ¦       ¦   ¦   °--Pseudocalanus                 	Pseudocalanus	1310	""
 ¦               ¦   ¦   ¦       ¦   ¦--Eucalanidae                       	Eucalanidae	1183	""
 ¦               ¦   ¦   ¦       ¦   °--Temoridae                         			""
 ¦               ¦   ¦   ¦       ¦       °--like                          	like<Temoridae	286	""
 ¦               ¦   ¦   ¦       ¦--Copepoda X                            	Copepoda X	2	""
 ¦               ¦   ¦   ¦       ¦--Cyclopoida                            			""
 ¦               ¦   ¦   ¦       ¦   °--Oithonidae                        			""
 ¦               ¦   ¦   ¦       ¦       °--Oithona                       	Oithona	1	""
 ¦               ¦   ¦   ¦       ¦--Harpacticoida                         	Harpacticoida	61	""
 ¦               ¦   ¦   ¦       ¦--like                                  	like<Copepoda	93342	""
 ¦               ¦   ¦   ¦       ¦--ovigerous                             	ovigerous	41	""
 ¦               ¦   ¦   ¦       °--Poecilostomatoida                     			""
 ¦               ¦   ¦   ¦           °--Sapphirinidae                     	Sapphirinidae	52	""
 ¦               ¦   ¦   ¦--Oligostraca                                   			""
